value,timestamp
0.001,2015-03-02T00:00
32.565,2015-03-02T01:00
38.347,2015-03-02T02:00
26.616,2015-03-02T03:00
17.202,2015-03-02T04:00
12.393,2015-03-02T05:00
6.158,2015-03-02T06:00
1.356,2015-03-02T07:00
3.673,2015-03-02T08:00
18.42,2015-03-02T09:00
10.154,2015-03-02T10:00
28.834,2015-03-02T11:00
23.997,2015-03-02T12:00
18.05,2015-03-02T13:00
22.578,2015-03-02T14:00
22.596,2015-03-02T15:00
16.293,2015-03-02T16:00
17.209,2015-03-02T17:00
14.61,2015-03-02T18:00
11.214,2015-03-02T19:00
9.229,2015-03-02T20:00
10.664,2015-03-02T21:00
12.596,2015-03-02T22:00
9.855,2015-03-02T23:00
20.222,2015-03-03T00:00
101.685,2015-03-03T01:00
90.277,2015-03-03T02:00
65.147,2015-03-03T03:00
32.295,2015-03-03T04:00
23.713,2015-03-03T05:00
13.818,2015-03-03T06:00
8.978,2015-03-03T07:00
5.631,2015-03-03T08:00
6.392,2015-03-03T09:00
10.466,2015-03-03T10:00
7.023,2015-03-03T11:00
11.756,2015-03-03T12:00
23.723,2015-03-03T13:00
34.604,2015-03-03T14:00
51.611,2015-03-03T15:00
52.088,2015-03-03T16:00
35.637,2015-03-03T17:00
18.113,2015-03-03T18:00
13.675,2015-03-03T19:00
9.548,2015-03-03T20:00
25.441,2015-03-03T21:00
31.379,2015-03-03T22:00
27.564,2015-03-03T23:00
32.615,2015-03-04T00:00
108.773,2015-03-04T01:00
103.597,2015-03-04T02:00
83.389,2015-03-04T03:00
45.385,2015-03-04T04:00
25.295,2015-03-04T05:00
12.775,2015-03-04T06:00
10.29,2015-03-04T07:00
5.173,2015-03-04T08:00
4.88,2015-03-04T09:00
11.233,2015-03-04T10:00
19.173,2015-03-04T11:00
8.588,2015-03-04T12:00
6.845,2015-03-04T13:00
19.999,2015-03-04T14:00
21.925,2015-03-04T15:00
17.929,2015-03-04T16:00
10.751,2015-03-04T17:00
9.981,2015-03-04T18:00
16.54,2015-03-04T19:00
17.45,2015-03-04T20:00
14.866,2015-03-04T21:00
12.058,2015-03-04T22:00
20.84,2015-03-04T23:00
38.098,2015-03-05T00:00
103.918,2015-03-05T01:00
122.193,2015-03-05T02:00
91.616,2015-03-05T03:00
52.388,2015-03-05T04:00
30.989,2015-03-05T05:00
14.474,2015-03-05T06:00
9.87,2015-03-05T07:00
6.185,2015-03-05T08:00
6.871,2015-03-05T09:00
8.474,2015-03-05T10:00
10.763,2015-03-05T11:00
10.707,2015-03-05T12:00
1.552,2015-03-05T13:00
18.844,2015-03-05T14:00
32.922,2015-03-05T15:00
18.322,2015-03-05T16:00
19.27,2015-03-05T17:00
13.551,2015-03-05T18:00
14.13,2015-03-05T19:00
11.214,2015-03-05T20:00
24.649,2015-03-05T21:00
21.651,2015-03-05T22:00
17.235,2015-03-05T23:00
21.052,2015-03-06T00:00
45.569,2015-03-06T01:00
53.843,2015-03-06T02:00
44.505,2015-03-06T03:00
22.02,2015-03-06T04:00
14.227,2015-03-06T05:00
5.804,2015-03-06T06:00
3.627,2015-03-06T07:00
2.657,2015-03-06T08:00
2.96,2015-03-06T09:00
5.377,2015-03-06T10:00
6.531,2015-03-06T11:00
6.739,2015-03-06T12:00
9.098,2015-03-06T13:00
20.421,2015-03-06T14:00
26.464,2015-03-06T15:00
20.957,2015-03-06T16:00
18.142,2015-03-06T17:00
11.192,2015-03-06T18:00
19.605,2015-03-06T19:00
37.286,2015-03-06T20:00
32.46,2015-03-06T21:00
23.279,2015-03-06T22:00
22.014,2015-03-06T23:00
27.569,2015-03-07T00:00
89.127,2015-03-07T01:00
103.532,2015-03-07T02:00
77.751,2015-03-07T03:00
51.873,2015-03-07T04:00
28.066,2015-03-07T05:00
8.619,2015-03-07T06:00
16.043,2015-03-07T07:00
10.595,2015-03-07T08:00
5.513,2015-03-07T09:00
23.101,2015-03-07T10:00
10.937,2015-03-07T11:00
12.78,2015-03-07T12:00
10.35,2015-03-07T13:00
8.622,2015-03-07T14:00
13.76,2015-03-07T15:00
11.624,2015-03-07T16:00
7.703,2015-03-07T17:00
6.503,2015-03-07T18:00
4.56,2015-03-07T19:00
0.297,2015-03-07T20:00
25.831,2015-03-07T21:00
27.464,2015-03-07T22:00
22.692,2015-03-07T23:00
21.074,2015-03-08T00:00
45.761,2015-03-08T01:00
34.355,2015-03-08T02:00
19.69,2015-03-08T03:00
8.745,2015-03-08T04:00
16.022,2015-03-08T05:00
11.972,2015-03-08T06:00
12.471,2015-03-08T07:00
