MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;mpe;mape;mdape;smape;smdape;mase;rmspe;rmsse;mre;rae;mrae;std_ae;std_ape;val_mse;val_rmse;val_nrmse;val_mae;val_mpe;val_mape;val_mdape;val_smape;val_smdape;val_mase;val_rmspe;val_rmsse;val_mre;val_rae;val_mrae;val_std_ae;val_std_ape;loss;val_loss
TCN_0;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;1199080.0;1095.0251;0.04929659;668.03345;-0.0027743482;0.023584817;0.013544494;2.343963086605072;0.013528861;2.8724074;0.039157208;4.708385;-1131865900.0;0.17481173470169928;8021477000.0;6359.00217234619;0.23084707729828374;1317834.9;1147.9698;0.051728994;701.3252;-0.0014849236;0.024043204;0.013667049;2.3965641856193542;0.013651609;2.9814637;0.039416272;4.880234;1294721900.0;0.17455042889153022;9517858000.0;6556.23761649372;0.22994788652024908;[0.32383356534207214, 0.2110952275139489, 0.18595619243321684, 0.16929851190731676, 0.15840905537074762, 0.15070432620271512, 0.1446555992348558, 0.14035960641555345, 0.13642780887365097, 0.133893508927981, 0.13123704424193663, 0.12890609881740878, 0.12814149741186767, 0.12632642951028974, 0.12451677142581226];[0.25775385569764053, 0.23506922933375687, 0.2156494102852063, 0.20653219592489608, 0.18898503729236413, 0.19268356618913107, 0.17783627825298887, 0.17489045921078866, 0.1680537409453476, 0.1617530201016807, 0.16690169969319676, 0.1594465472586623, 0.15725393199154697, 0.15632230876923697, 0.15402083986834303]
TCN_1;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;128;15;493404.53;702.4276;0.031622365;480.3115;0.003948349;0.01690884;0.0115545;1.7027121037244797;0.011562477;2.0652413;0.024623705;3.020295;604193860.0;0.12568843995768753;6370000000.0;3816.925335252408;0.13494210125040798;495518.22;703.93054;0.031720012;473.08127;0.0035040411;0.016282436;0.01095848;1.6380000859498978;0.010966556;2.0111563;0.024104089;2.9925382;1408934300.0;0.11774358416220324;7163734000.0;3841.066605518026;0.13254713976663632;[0.2952128795434082, 0.1568849620563306, 0.13198171903470388, 0.11910507748816293, 0.11040327653098829, 0.10439215292135536, 0.0998869398781029, 0.09669081312630531, 0.09393965399446018, 0.09248088919593506, 0.09019157960704374, 0.08868454069440551, 0.08716380970226509, 0.08635367628470877, 0.08516050206004872];[0.21085740854284457, 0.16878228660354563, 0.16799000826095026, 0.14722777517185598, 0.12676258699631893, 0.12631418264367109, 0.12196047328514596, 0.1175244693818702, 0.11633056806569309, 0.10672089317297127, 0.1054425129092214, 0.10229374651553502, 0.10194896833712341, 0.10265197106731226, 0.10392428439812806]
TCN_2;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8, 16, 32], 'dropout_rate': 0};24;144;128;15;302422.06;549.92914;0.024757085;398.49463;0.0018090423;0.014116599;0.010251104;1.4161765575408936;0.010251899;1.7134455;0.019506844;2.3645833;1177973.2;0.10427850935787399;5523374000.0;3174.9427855023987;0.1126476578959668;301037.5;548.6688;0.024723722;392.63077;0.0017309265;0.013607141;0.009821169;1.3642151840031147;0.009823631;1.6691463;0.01906523;2.3324933;-95548470.0;0.09772053246693783;5443647000.0;3160.6699242496466;0.10971324375608647;[0.4081203833035567, 0.15145295755923593, 0.12702948942039058, 0.11393557125227041, 0.10422505485462542, 0.09623317272122887, 0.0903679189862772, 0.08564299081311823, 0.08232243215435787, 0.07991613360534494, 0.07753172196482759, 0.07612778205368763, 0.07414408795368457, 0.07271393000293828, 0.07181940168862712];[0.1917296425139912, 0.1533329003458309, 0.13569648077362748, 0.12634088411995265, 0.11275275066174173, 0.10196443456143083, 0.10133523006534079, 0.10038642468634416, 0.09096520856771295, 0.08994170142227112, 0.08822212414907149, 0.08640340762547007, 0.08644429724529842, 0.08385642156228472, 0.08628170552377365]
TCN_3;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;411619.16;641.5755;0.028882883;445.49905;-0.004277414;0.015809001;0.010975562;1.5735240653157234;0.01096375;1.915555;0.022980217;2.7586446;-2489216300.0;0.11657868451003023;6459953000.0;4122.397910414018;0.1480491749367534;475731.4;689.73285;0.031080248;466.03198;-0.004602298;0.016129827;0.010813743;1.6048695892095566;0.010800105;1.9811885;0.02403045;2.932183;-2625442000.0;0.11598910785344463;7658115600.0;4403.563236166414;0.1538406497046642;[0.5518817285530331, 0.2108234407439132, 0.16602443272132875, 0.14279621574530887, 0.12746992485022476, 0.11554868103477227, 0.10779304312995831, 0.10172946768474145, 0.09735054004851691, 0.09354558935357858, 0.09022472516471644, 0.08794082735972265, 0.08583497868666996, 0.0842653730998147, 0.08283658979849179];[0.2883937452267916, 0.2189199776818219, 0.18437348854401805, 0.16268147750279519, 0.1476227391780939, 0.13928968887059268, 0.13273881922554362, 0.11908418177314156, 0.11689453277510906, 0.10885067426023029, 0.10549383657630254, 0.10291062405761829, 0.10275720685856528, 0.10290905021116459, 0.10241387713037126]
TCN_4;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;128;15;386839.66;621.96436;0.028000016;421.71783;0.0020627065;0.014927826;0.010200683;1.500886958092451;0.010201194;1.8133006;0.022006733;2.67432;-210042060.0;0.11035558835209873;5950107000.0;3505.6893969382795;0.12447295791965944;379891.34;616.3533;0.027773669;412.2965;0.001916338;0.014246835;0.009684969;1.430753618478775;0.009684952;1.7527491;0.021263083;2.6202323;223346900.0;0.10261507365361117;5310988000.0;3470.248518887761;0.12004997531110259;[1.401860323113179, 0.21266423216746874, 0.16687748200510805, 0.14443966972453995, 0.12695268590676978, 0.11505902748281759, 0.1055071963008609, 0.09830161409550442, 0.09227261073113886, 0.08765732947533879, 0.08378476037359804, 0.08013113615221507, 0.07770567318440927, 0.07540247146929618, 0.07324850796139173];[0.2930526617727323, 0.230965831761102, 0.1912820551590599, 0.1600873492274188, 0.1367336225155826, 0.1252096886786074, 0.11667094031192085, 0.11416689686073793, 0.10635535306232238, 0.10029226505068184, 0.09616453116498426, 0.08991095377284175, 0.09243219812380592, 0.0900708300639272, 0.09060121477330656]
TCN_5;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 2, 'dilations': [1, 2, 4, 8, 16, 32], 'dropout_rate': 0};24;144;128;15;191182.64;437.2444;0.019684166;321.5499;4.2482625e-05;0.011423012;0.0086475955;1.1430458165705204;0.008644924;1.3825989;0.015631253;1.8800613;-564553400.0;0.08414352840432499;4508942000.0;2624.925488309049;0.09472362460831492;200068.92;447.29065;0.020155491;319.5199;0.00032233697;0.011113381;0.008275959;1.1113246902823448;0.008275533;1.3583385;0.015717523;1.9015155;241305810.0;0.0795242151853807;4233149000.0;2631.135361099578;0.09338831076319316;[2.8470540138655567, 0.21858114326746833, 0.1695911098594938, 0.1485939339036686, 0.13125898023424165, 0.1190758221969808, 0.1082293157523606, 0.0986797063215491, 0.08968228391881823, 0.08064677750004513, 0.07482505379436796, 0.07064428457486795, 0.0669189309240394, 0.06467570873316328, 0.06245258240591704];[0.2944198130044918, 0.2328470507363284, 0.19384637826401194, 0.16116008779735091, 0.14151116048908668, 0.12569474171791215, 0.11499815615986347, 0.11934194617114344, 0.09807046373063104, 0.09092721010607516, 0.08401123498215912, 0.0802427773222337, 0.07399423086781247, 0.07716474685980772, 0.07014787253004542]
TCN_6;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;380480.56;616.83105;0.027768921;424.05777;0.00012153193;0.015005665;0.010359313;1.5037302859127522;0.010354542;1.8233619;0.021812307;2.6522472;-474278080.0;0.11096789999554682;5976973000.0;3650.5329386385492;0.12936561254881357;415588.16;644.66125;0.029049264;428.8616;4.0950677e-06;0.014829444;0.010041879;1.4847228303551674;0.010037463;1.8231703;0.022221567;2.7405748;-135238880.0;0.10673789882063082;6211299300.0;3793.5821820324354;0.13086821892684686;[1.5360230012243519, 0.25553498457401885, 0.2091744471421278, 0.1756495238820576, 0.14452359271596335, 0.12620261563942073, 0.1128827926490823, 0.10323643997213357, 0.0961652179351838, 0.09170033551145643, 0.0870855574892636, 0.08376577777515645, 0.08106368624330831, 0.07925893988376521, 0.076807275965284];[0.31688887588509684, 0.2661075102820244, 0.24451634555141363, 0.20853333161087964, 0.1681231581554332, 0.1570409069546126, 0.13339611255142786, 0.12929789812850237, 0.11371419861650281, 0.10593241515380451, 0.10018069447982335, 0.10557141563255493, 0.09748545189406929, 0.09698041103201914, 0.09422456364245176]
TCN_7;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;128;15;351196.5;592.61835;0.026678897;418.50974;-0.0026352666;0.014811017;0.010632202;1.477215625345707;0.0106271375;1.7995064;0.020991916;2.5481374;-2213623000.0;0.10951608946940777;6249063400.0;3759.4116724985506;0.13309553980008546;407999.28;638.7482;0.028782815;433.49048;-0.0029805314;0.0149868475;0.010408142;1.4933174476027489;0.01040205;1.8428485;0.022043167;2.7154372;-1890926200.0;0.1078899626706823;6897277400.0;4019.5677231198583;0.1385519816537732;[14.334537964170497, 0.39921905305864985, 0.2911425192113124, 0.2381145580675778, 0.197367097410707, 0.16997876834866468, 0.1475093289165497, 0.13036214077769687, 0.11891834568102096, 0.10972717962905519, 0.10165302014323296, 0.09543869857900182, 0.09040079625261979, 0.08578744194227289, 0.08119903407452614];[0.5453970206771422, 0.3552642922170475, 0.28277693806484644, 0.26528061895260063, 0.21863629574178484, 0.17891982383418534, 0.15548578337252877, 0.144295846038563, 0.13320680300900148, 0.12113303391278685, 0.10829448094378867, 0.11039615996954726, 0.10821213291329802, 0.09735342587568523, 0.09525528825717429]
TCN_8;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8, 16, 32], 'dropout_rate': 0};24;144;128;15;230170.64;479.76102;0.021598209;349.2678;7.718332e-05;0.012467;0.009384898;1.2471684254705906;0.009384405;1.5017802;0.017360087;2.0628748;17520646.0;0.09139678072818912;4478715000.0;2874.487370532534;0.10448522669285654;250704.94;500.70444;0.022562385;358.74118;8.521735e-05;0.012541543;0.009326996;1.2537363916635513;0.009324616;1.5250754;0.0177775;2.1285875;212086690.0;0.08928586505094992;5312603600.0;2981.579062446362;0.10634305640271571;[51.519339027592494, 0.7673913664022518, 0.43792493116763054, 0.3084803346655636, 0.23452237766887798, 0.1967075895266303, 0.16041675250972282, 0.13423093694961027, 0.11765646095390643, 0.10521758459375653, 0.09677508684332675, 0.08948609765804817, 0.0821119971202178, 0.0775979004925792, 0.07339790732861733];[1.1948712182371584, 0.559467267014198, 0.3735922297872287, 0.2931160863151133, 0.22399829242521846, 0.18268496169424958, 0.14865731248183725, 0.14745295989167356, 0.12115428115582046, 0.10979336979376748, 0.09770425564602786, 0.08892284217305768, 0.08693659754162587, 0.08234933795333298, 0.07878127645285629]
TCN_9;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 1, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;128;15;419999.75;648.07385;0.02917543;447.20667;0.0013049591;0.01575039;0.010753909;1.5789145603775978;0.010755731;1.9228973;0.022769453;2.7865856;-111476630.0;0.11702553056667024;5955261400.0;3695.6689719907745;0.1319479428152417;463811.5;681.03705;0.030688403;455.05533;0.0019369903;0.01563872;0.0104303295;1.568709872663021;0.010435831;1.9345248;0.023229854;2.895215;1599399800.0;0.11325716833414821;6865081300.0;3795.139762878712;0.13178405283627154;[0.2593596940010612, 0.1485052472516692, 0.1257189902309219, 0.1125212183487488, 0.10516509862711124, 0.10013760513824015, 0.09601657155843053, 0.09400581477028698, 0.09080821503031394, 0.08913885888558239, 0.08715154345483694, 0.08578739253040436, 0.08460649200675405, 0.08331498197791547, 0.08229516167592044];[0.19455864521524754, 0.16978654385934994, 0.14559848330531025, 0.12926899258773933, 0.1282027631132959, 0.12920531837557628, 0.11024069531886933, 0.11123197717714839, 0.10700120971782956, 0.10708976299328814, 0.10531591173973413, 0.10231310996699007, 0.10356282101140953, 0.10310217048984996, 0.10002097777113444]
