MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;wape;mpe;mape;mdape;smape;smdape;mase;rmspe;rmsse;mre;rae;mrae;std_ae;std_ape;loss;Execution_time;Device
TCN_44;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;356372.34;596.9693;0.026874771;427.50568;0.014979548;-0.003200245;0.015048816;0.010856189;1.4998745173215866;0.010843748;1.8381871;0.020942187;2.5668464;-2285821400.0;0.11187015854035125;5831714000.0;3812.482588159373;0.1351775830181481;[3.610572542123009, 0.15931461281982295, 0.10792048396945378, 0.08320970377258886, 0.0730891455078226, 0.06880746781020827, 0.06538857892125263, 0.06326626766496314, 0.06200582686098118, 0.06055026310071578, 0.05893988374580979, 0.05751203477375793, 0.05662866523127513, 0.05551923563071872, 0.054393794962152, 0.053773705828172175, 0.0537285119902296, 0.052658900292495876, 0.052115769886013866, 0.05210884103110102, 0.05170636939095108, 0.05098972800055612, 0.050932587474510196, 0.05053441035083636, 0.050333016383833216];1213.4284346103668;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_45;{'nb_filters': 32, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;388544.1;623.33307;0.028061634;448.42197;0.015712442;-0.0041855704;0.015901936;0.011362693;1.5820043161511421;0.011354847;1.9281229;0.022187993;2.6802058;-2571454000.0;0.11734354935615111;5898334700.0;4052.5909003952634;0.1451876398403568;[4.669832347854339, 0.17834180302226738, 0.11754495125508055, 0.08757721534588893, 0.07558983705665281, 0.06815591505427493, 0.06400106041007728, 0.06070386976216886, 0.059154833755251365, 0.058021946195903985, 0.05634808038405622, 0.05605000508355028, 0.05496066992927028, 0.05509875376464464, 0.05358904798085514, 0.05304001498235915, 0.05261616768521009, 0.05235323326749683, 0.05196993017549214, 0.05143268658515067, 0.05110694160439473, 0.05094840953862002, 0.050380042293274044, 0.05014334605622855, 0.05027367149634052];1104.0063378810883;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_97;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 1, 'dilations': [1, 3, 6, 12, 24, 48], 'dropout_rate': 0};24;144;64;25;333345.16;577.36053;0.025992012;418.7701;0.014673458;-0.0021393364;0.014780471;0.010950077;1.474976073950529;0.010936923;1.8006259;0.02044721;2.4825323;-2249432800.0;0.10958422168711113;5652141600.0;3620.938242917049;0.12959656891996618;[0.15704839512025126, 0.07746083626954856, 0.06852967839519078, 0.06440850587303754, 0.06208193719023837, 0.06066163329789272, 0.05922536229595925, 0.05848849698321985, 0.057698708861689256, 0.05737103757450481, 0.056494268940989564, 0.056088045862940805, 0.055699809931332535, 0.05542892485727146, 0.055014153435080725, 0.054768000566577484, 0.0546352167121585, 0.054313256010586425, 0.05400402494857282, 0.05385775498688556, 0.053642182951635475, 0.053285289497069774, 0.05314023247645243, 0.05308505130570773, 0.052648238335446115];613.9609711170197;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_112;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;307843.22;554.8362;0.024977993;405.45007;0.014206733;-0.0026036373;0.014349932;0.010582488;1.4311275444924831;0.010574646;1.7433525;0.019556902;2.3856826;-2356568300.0;0.10609861940606317;5332575000.0;3523.951283205806;0.1261549459621809;[0.4622107047268944, 0.09625268668737628, 0.07624997295532919, 0.06745151784724417, 0.06328052340228216, 0.060642943532478025, 0.05915314796435046, 0.05765928868862106, 0.0565201184973358, 0.05573485623870498, 0.05487547924233684, 0.05414502190535673, 0.05385723483299752, 0.05337727083909139, 0.0527785962630599, 0.052483515631084526, 0.052047904324674044, 0.05198405859891221, 0.051536065585719944, 0.051407487711830416, 0.051141687323367914, 0.05095338904535838, 0.050584090530959365, 0.050495136464366465, 0.05035591183355777];833.1359481811523;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_113;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;348083.84;589.9863;0.026560407;424.19092;0.014863401;-0.0023544824;0.014920319;0.010875929;1.4882495626807213;0.010871331;1.8239343;0.020573528;2.5368204;-2224707300.0;0.11100274746333248;5762339300.0;3705.652166291359;0.1311021257926891;[0.5557709705619772, 0.09915299560149557, 0.07827287714912846, 0.06790927461596295, 0.0632025575791527, 0.06079789371550414, 0.05880352189108171, 0.05738171518690744, 0.056300559863461205, 0.055562046673224605, 0.05488567653161538, 0.054256427335102955, 0.053613329535322045, 0.052989063101882165, 0.052975830734254346, 0.05241250848016992, 0.051785382265873425, 0.05174188424309543, 0.05137396956657951, 0.05134838779651325, 0.05084528787459132, 0.05044203796489052, 0.050299013452140856, 0.05004038092447449, 0.049816909153462215];758.6756865978241;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_121;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;64;25;335629.03;579.33496;0.026080897;411.22226;0.014408986;-0.000978239;0.014476006;0.010439395;1.4470341615378857;0.010432642;1.7681718;0.020386504;2.4910226;-1632648300.0;0.10760909458909965;5288356400.0;3511.982321109294;0.12523547816437833;[3.1060873674494096, 0.15322840363471507, 0.10370886537732396, 0.08088893278298324, 0.07034477101968335, 0.06503494125079876, 0.0619966386633603, 0.059467423793296004, 0.05773285544941684, 0.05640192576817807, 0.055450398333567304, 0.05437581403676355, 0.05340938236156955, 0.053209529341895066, 0.05244774462616895, 0.051861082953073345, 0.05159364028215149, 0.05109946486819111, 0.0507360562661551, 0.050355375078109624, 0.05020011733826188, 0.04957989227019242, 0.04946823347426301, 0.049102298834593515, 0.04890182680935626];1135.9236698150635;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_145;{'nb_filters': 32, 'kernel_size': 3, 'nb_stacks': 4, 'dilations': [1, 3, 6, 12], 'dropout_rate': 0};24;144;64;25;435618.06;660.0137;0.029712945;465.2266;0.016301267;-0.0009210002;0.016112775;0.011523277;1.6115736216306686;0.0115164975;2.0003793;0.022329206;2.8379228;-1981131900.0;0.12174100321650683;6165603000.0;3999.0562540459605;0.1375128644672102;[5.0646489542184945, 0.17426246354282293, 0.1136241115531561, 0.08733281084674943, 0.07480122511661373, 0.06826273271744006, 0.06449936739825556, 0.06166074102499537, 0.05931293716439947, 0.05737312716413727, 0.05610150619488101, 0.05527895098971818, 0.054222055561173745, 0.05333554524488225, 0.05268381598933461, 0.05237869734871957, 0.05193539239404418, 0.05150586863669751, 0.050915844347539804, 0.050625171971173, 0.050253050619322684, 0.04981490573687139, 0.04984137734312113, 0.049455975875864255, 0.04914798199176933];1184.1098625659943;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_213;{'nb_filters': 32, 'kernel_size': 4, 'nb_stacks': 3, 'dilations': [1, 3, 6, 12], 'dropout_rate': 0};24;144;64;25;343659.62;586.2249;0.026391074;418.81757;0.014675122;-0.003730335;0.01469716;0.010552613;1.4634991064667702;0.010542335;1.80083;0.020406768;2.520647;-2698366000.0;0.10959664358315649;5717848000.0;3796.583352683047;0.13345606966630436;[0.7213764229296925, 0.10557143383035258, 0.08175349893398004, 0.07165156782828776, 0.0660441293781658, 0.06254445028041182, 0.05986241518806258, 0.058070800757054855, 0.056740376977117694, 0.05544357261808425, 0.05460907758889968, 0.053884375168363426, 0.05287551290182799, 0.05279702571088443, 0.051864132189041956, 0.05165347115317863, 0.05151107066916078, 0.05095061519358534, 0.05032757698970442, 0.05006884934259651, 0.04965669898122236, 0.04933234395235656, 0.049045621728377176, 0.04857095530551641, 0.048528018978363154];965.0768504142761;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_226;{'nb_filters': 32, 'kernel_size': 4, 'nb_stacks': 4, 'dilations': [1, 3, 9], 'dropout_rate': 0};24;144;64;25;393003.8;626.90015;0.028222218;445.96503;0.015626352;-0.0033630019;0.015629958;0.011085464;1.5572192147374153;0.011075774;1.9175586;0.021777147;2.6955428;-2643897600.0;0.1167006221305306;6152399000.0;3995.002036122485;0.1405998535842108;[0.8279315328216842, 0.11101493983406485, 0.08543261886256774, 0.07423551193589668, 0.06801710155477973, 0.06495884769358973, 0.062254992077681946, 0.060220864765354466, 0.058959664438732934, 0.057317586593432515, 0.05627935850720272, 0.05555844901724603, 0.054891837246235066, 0.05403058215389885, 0.05338477943786129, 0.05315729278672796, 0.05240779789681011, 0.051980125550980624, 0.05151720558838336, 0.05111059416792152, 0.05066623145045174, 0.05018358243118092, 0.04971697854673845, 0.049464945146483426, 0.04894920905550199];894.6041231155396;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_350;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 1, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;311997.0;558.5669;0.025145946;405.75885;0.014217552;-0.0040402054;0.01441683;0.010701303;1.4354217797517776;0.010688901;1.7446802;0.019894982;2.4017236;-2837591600.0;0.10617942446720674;5843168000.0;3633.595897885392;0.13146809961804118;[0.11918057079633852, 0.07100401701318798, 0.06491306940662642, 0.061877232949242085, 0.06009044797223201, 0.05862040777924621, 0.05768282709643313, 0.05710799640801914, 0.056436599992612364, 0.05574336705137785, 0.055191603299130206, 0.05465084664445422, 0.054497174458385464, 0.05421034681167896, 0.0538729838706826, 0.053275891828883204, 0.05316885158452607, 0.052888961947190956, 0.05281339006588083, 0.05254597091164683, 0.052234152357691646, 0.05188012687146599, 0.051827065204673825, 0.051608672773284944, 0.051442895137200094];582.8675439357758;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_351;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 1, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;331759.5;575.98566;0.025930116;410.10635;0.014369885;-0.0023333433;0.0145503115;0.010461545;1.4491962268948555;0.010460884;1.7633736;0.020682396;2.476621;-2064423600.0;0.10731708307508565;5651372500.0;3601.8797352676042;0.1302968598053611;[0.13555010151479935, 0.07312801930558298, 0.06621269234018033, 0.062323794922540934, 0.060666364750635395, 0.059326801930170404, 0.058045526500709654, 0.05739741423464203, 0.056776290511878005, 0.05612650990994297, 0.05570170195149015, 0.05534518275442859, 0.05469421258269074, 0.05469556316107498, 0.053865126243907456, 0.05385733715714737, 0.053555480965995196, 0.05322680203289857, 0.053072292276677806, 0.05298251338345233, 0.05281845229731109, 0.05250537514817421, 0.052270718360270106, 0.05216354192878027, 0.05187613012796609];531.2676115036011;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_366;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 2, 'dilations': [1, 3, 6, 12], 'dropout_rate': 0};24;144;64;25;310617.66;557.3308;0.0250903;398.7165;0.013970791;-0.0019417903;0.013967864;0.010163785;1.3932420872151852;0.010160651;1.7143995;0.019284906;2.3964088;-2240683800.0;0.1043365694596838;5434240000.0;3477.541691074166;0.12210790076934949;[0.18496475842131965, 0.07392744375703211, 0.06575839789305159, 0.06201417079907998, 0.05965566895280336, 0.05813508129728015, 0.056481204223290365, 0.055842796033084875, 0.054838220455554205, 0.05410447342164864, 0.053714076215995575, 0.05328835820766116, 0.05270182551419458, 0.05240641402454682, 0.05225348731520734, 0.05160938884571507, 0.051374093210943925, 0.051181386082714136, 0.05087400141842232, 0.05061360333065928, 0.050469261378503674, 0.050260399626330464, 0.04989728340597683, 0.04966961462330443, 0.04944282410579272];795.3510634899139;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_375;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8], 'dropout_rate': 0};24;144;64;25;350829.7;592.3088;0.026664961;419.00357;0.014681639;-0.0034617041;0.014697068;0.0105491895;1.464303396642208;0.010541206;1.8016298;0.020628203;2.5468066;-2073948900.0;0.10964531597105874;5805944000.0;3779.973823604506;0.13356279884214545;[0.5399676801820027, 0.09571205675221543, 0.07577960810567977, 0.06790704845791647, 0.06364617002899935, 0.060909516817549865, 0.058786191880067694, 0.05776092364828185, 0.056637733650320356, 0.05574945553874889, 0.05489983421310864, 0.054163775733796056, 0.05343287888609148, 0.053115805827497135, 0.052587060820750986, 0.0520918457779739, 0.051853575400096254, 0.05152017813816136, 0.05124060809211197, 0.05089647273879723, 0.05081197110737459, 0.05033937013199116, 0.04993556922501193, 0.04986406557762348, 0.04953823933944862];1099.3454666137695;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_399;{'nb_filters': 32, 'kernel_size': 6, 'nb_stacks': 4, 'dilations': [1, 3, 6], 'dropout_rate': 0};24;144;64;25;329066.06;573.6428;0.025824644;411.91388;0.01443322;-0.0047449586;0.01452442;0.010578463;1.4444420114159584;0.0105668595;1.7711456;0.020233387;2.466547;-3167898600.0;0.10779007328758973;5763181600.0;3794.2020667613933;0.1348951952057389;[1.0818860039941232, 0.1153225713402005, 0.0864937424767169, 0.07309687336531821, 0.0673518123945903, 0.06365955341248414, 0.0607183098345191, 0.05838128755678998, 0.05694471936906295, 0.055908578227788885, 0.054981885996178446, 0.05455411328871089, 0.053859945341253566, 0.05327506633378914, 0.05282997890493603, 0.051915533347498814, 0.051706149710137504, 0.0514544137461364, 0.050883633418989264, 0.050487607888883256, 0.05039403735437332, 0.04952194072189692, 0.04914272896248545, 0.048843779648871946, 0.04851681949891203];978.2708230018616;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_469;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;329910.06;574.378;0.025857741;418.79974;0.014674497;-0.0030219243;0.014817935;0.010913086;1.4781597070395947;0.010900916;1.8007534;0.02030423;2.469708;-1596793900.0;0.10959197824295212;5799228000.0;3658.7324078522174;0.13158133973890712;[3.1863252257060384, 0.15213868298133815, 0.10403003311106204, 0.08245240640875423, 0.07161151118746771, 0.06538648818259564, 0.060897022454391304, 0.058423352545532395, 0.057258776506138115, 0.05513851227455774, 0.05440151745094475, 0.05321952328541669, 0.052530258876070136, 0.051743140959945914, 0.051170593195525506, 0.050714019635925006, 0.05029586032563482, 0.0496339195726597, 0.0489053544458018, 0.04884450567947922, 0.04831573013397881, 0.04816476468858042, 0.04784265818660943, 0.04765916216513286, 0.04697986507962184];1565.336374759674;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_470;{'nb_filters': 64, 'kernel_size': 2, 'nb_stacks': 3, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;359785.72;599.8214;0.027003169;427.0814;0.014964681;-0.0027142314;0.014981162;0.010788238;1.492965780198574;0.010780577;1.8363627;0.020965034;2.5791101;-2270191400.0;0.11175912572482732;5932278300.0;3797.164299175448;0.13374345065821766;[3.912716022618851, 0.16472239263648608, 0.11062850485702695, 0.08579885298878409, 0.07327434478649109, 0.0670413415164836, 0.06318364188314375, 0.05998521301055109, 0.05785877185062012, 0.05630727639540723, 0.05532358890578097, 0.05435502714350658, 0.05351859861392615, 0.05259427395086816, 0.05192270448832913, 0.051613182662993605, 0.05104598580426169, 0.05047156167752807, 0.05000607657523236, 0.049664860133981165, 0.04916008485134523, 0.049165833981267414, 0.048709392169167066, 0.04829264200188616, 0.04779708273644557];1491.3305542469025;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_522;{'nb_filters': 64, 'kernel_size': 3, 'nb_stacks': 1, 'dilations': [1, 3, 6, 12, 24, 48], 'dropout_rate': 0};24;144;64;25;257928.36;507.8665;0.02286348;366.43024;0.012839501;-0.0026521888;0.012968247;0.009488996;1.2927721254527569;0.009482;1.5755752;0.018004637;2.1837223;-2491998500.0;0.09588786648357545;5139144000.0;3250.552828573088;0.11604896629810763;[0.14817075901715895, 0.07564934129289148, 0.06730647773539056, 0.0631855551104092, 0.06077872685984261, 0.05908057537004729, 0.057994690167097684, 0.05707582723227202, 0.05602480136806211, 0.055255220269182025, 0.05439398306138102, 0.05418076376838987, 0.053711051318329955, 0.053221859378092644, 0.05305995572574571, 0.052268879870523685, 0.05196344172964003, 0.051786236187580936, 0.05165246318752916, 0.05127415349869603, 0.05099000729982429, 0.05073429859171629, 0.050583184707729385, 0.05051305002826783, 0.05026319717339212];932.4999029636383;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_537;{'nb_filters': 64, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;237463.22;487.30197;0.021937693;357.18015;0.012515383;-0.0023420884;0.012695439;0.009481982;1.266797725111246;0.009476604;1.5358016;0.017391888;2.095299;-1734859300.0;0.0934672963529952;5037060000.0;3090.1147101385195;0.11204943912406465;[0.3284247786880023, 0.08646719469063613, 0.07014017434254191, 0.06348894130407894, 0.05978377410095265, 0.057612431980851045, 0.055915251130499326, 0.055115941641376016, 0.05406390109139734, 0.052924852630458555, 0.05212513575928551, 0.05126711193124046, 0.050687117029711334, 0.0502630280643488, 0.0496065007437952, 0.049325701183631755, 0.04882110575494987, 0.04830216269250969, 0.048192033700230556, 0.04785830489125717, 0.04721989375883363, 0.047040173509305006, 0.04662866505949633, 0.046290875624012046, 0.04614695841657046];1246.2204189300537;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_538;{'nb_filters': 64, 'kernel_size': 3, 'nb_stacks': 2, 'dilations': [1, 3, 6, 12, 24], 'dropout_rate': 0};24;144;64;25;240793.8;490.70746;0.022091003;356.31113;0.012484932;-0.0014914128;0.012475577;0.009326955;1.2458565644919872;0.009322774;1.532065;0.016979214;2.1099415;-1955348100.0;0.09323988668310691;5113202700.0;3060.3226745475413;0.10746021549642551;[0.3889582837426747, 0.08708158953726447, 0.07225709601719177, 0.06424538624299765, 0.06045037078676281, 0.05797113341460584, 0.05635146776169417, 0.05481353796941746, 0.05379474727912974, 0.05302043870535418, 0.05244174723551417, 0.05159766649940977, 0.051127514906750174, 0.05066110543514028, 0.05024804645825097, 0.0496195569133456, 0.04905864352636708, 0.04863291175647677, 0.0484016206870709, 0.04792210835436178, 0.04765057384201079, 0.047415226767958285, 0.047126719636631745, 0.04671816988342037, 0.0465040677803381];1293.3157241344452;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_546;{'nb_filters': 64, 'kernel_size': 3, 'nb_stacks': 3, 'dilations': [1, 2, 4, 8, 16], 'dropout_rate': 0};24;144;64;25;280034.06;529.18243;0.023823095;381.55884;0.0133695975;-0.003043953;0.013459815;0.009825934;1.341248583048582;0.00981787;1.6406251;0.018572127;2.2753766;-2494320000.0;0.09984673273792186;5341651500.0;3402.8628772366114;0.12080157891852965;[2.539427632004135, 0.13857700916308266, 0.09585638360449449, 0.0756097046811239, 0.06709432019811178, 0.06246453576420014, 0.06014639506409926, 0.05804775768554095, 0.05668920540063482, 0.05560183930434419, 0.0539541196422578, 0.0532541490204598, 0.05251540255243198, 0.05201382025122179, 0.05127089524189958, 0.05080446915668209, 0.050100945193162195, 0.04965002780771544, 0.0494296911546592, 0.04890344938341363, 0.04867627014804136, 0.04835890999695097, 0.04803363448827495, 0.047693330064020385, 0.04762248159187103];1686.9726803302765;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_570;{'nb_filters': 64, 'kernel_size': 3, 'nb_stacks': 4, 'dilations': [1, 3, 6, 12], 'dropout_rate': 0};24;144;64;25;341956.22;584.7702;0.026325583;420.2003;0.014723571;-0.0050216946;0.014908661;0.010924948;1.4813508838415146;0.01090978;1.8067755;0.021276526;2.5143921;-3020493600.0;0.10995847550643922;5903445500.0;3881.5549404081116;0.14068740669017094;[5.309586732011729, 0.17167186098470172, 0.10955833715613461, 0.08267354125918581, 0.06927565613304096, 0.06369708335286074, 0.06024324800903096, 0.05749756187915861, 0.055995175339174696, 0.05447562718359186, 0.05371764315738414, 0.05284728542367623, 0.05196126204856623, 0.05131120595195717, 0.05078947425520428, 0.050309936340610734, 0.05080011928729531, 0.04960418963965295, 0.04900102604033316, 0.04873093808830557, 0.04848171796641141, 0.04813613297690849, 0.04774334067465369, 0.047114661384964625, 0.047303374080337995];1806.231528043747;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_638;{'nb_filters': 64, 'kernel_size': 4, 'nb_stacks': 3, 'dilations': [1, 3, 6, 12], 'dropout_rate': 0};24;144;64;25;336971.72;580.4927;0.026133016;405.75284;0.014217341;-0.002128062;0.01422717;0.0100736655;1.4208459295332432;0.010066754;1.7446543;0.020157028;2.4960005;-2277207800.0;0.106177850342639;5717611000.0;3606.579099748988;0.12673895218008657;[0.9360385921126385, 0.11369235104234221, 0.0820029937115379, 0.07037187392094764, 0.06534494723004404, 0.06145342208813607, 0.05947878691041797, 0.05739275989854878, 0.0562631488724186, 0.05518522394626898, 0.054522543068130536, 0.05372490364406297, 0.052784622813979803, 0.05236287629293833, 0.05172557732697416, 0.05174669352745267, 0.0507568174593163, 0.05041257230270958, 0.04998944708867482, 0.049469490075181005, 0.04936694653997602, 0.04879272715901595, 0.04851053348712652, 0.048309353289534514, 0.04800978101013412];1468.727133512497;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
TCN_651;{'nb_filters': 64, 'kernel_size': 4, 'nb_stacks': 4, 'dilations': [1, 3, 9], 'dropout_rate': 0};24;144;64;25;291658.25;540.05396;0.024312519;380.59628;0.013335871;-0.0012067034;0.013217452;0.009561082;1.3201997615396976;0.009557353;1.6364863;0.018353544;2.3221219;-2044521200.0;0.09959484999368524;5477577000.0;3324.469446008154;0.11420631632682622;[0.6704957951801197, 0.09988259053959783, 0.07763881360198918, 0.06710642761065484, 0.06192534173461831, 0.059458517970321895, 0.05748101904986709, 0.0559087578470218, 0.05511064457658389, 0.054244545602496294, 0.05286411402213793, 0.052222845946674284, 0.051119886333241556, 0.05075024714312685, 0.05025168403368618, 0.04975586772306307, 0.04913050963361325, 0.04873397892807885, 0.04846296871878674, 0.047870218042510904, 0.04776109264997694, 0.04714940211932683, 0.046844786218965366, 0.046580281001344905, 0.04629146983574571];1374.3990879058838;PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
